filename,director,speaker,trial_value,trial_start,trial_end,trial_length,sign_start,sign_end,sign_length,sign_value,sign_notes,iconic,signOrigin,T0Check
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,14,1735405,1755405,20000,1739385,1746500,7115,OUTSIDE,NATURE-GROW-IX#FOREST 자연스럽게 자란 꽃+포인팅 밖의 숲,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,2,14,1735405,1755405,20000,1750742,1755442,4700,NO DARK NO BRIGHT. 그대로 ,NA,NA,NA,TRUE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,5,2020326,2027626,7300,2025560,2026980,1420,IX,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,3,1120579,1133988,13409,1124584,1125884,1300,,NA,Yes,JSL,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,3,1120579,1133988,13409,1126240,1128164,1924,INDIA,NA,NA,NA,TRUE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,250091,251788,1697,YELLOW,OS,No,JSL,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,251904,252274,370,SAME,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,252328,254290,1962,C,CL,No,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,254450,256523,2073,PEEL,LW,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,256523,257127,604,IX(B형)->C,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,257264,258185,921,BRIGHT,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,258377,259377,1000,PEEL,LW,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,272320,274520,2200,YELLOW,OS,,JSL,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,274560,276100,1540,YELLOW2,OS,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,276110,283130,7020,LEMON#ACTION,LW,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,283160,285360,2200,LEMON#PEEL,LW,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,285380,288260,2880,LW:Description:레몬모양,NA,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,288300,291880,3580,LEMON#ACTION,LW,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,291900,300560,8660,NO A other SIGN(비교대상),NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,306399,319530,13131,YESDERDAY SHOPPING',SE,No,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,328691,331248,2557,SAME으로 다른 예를 보여주는 방법,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,341526,348200,6674,NO A YES B^Focus,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,361600,364900,3300,FLOOR,IX,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,367025,369225,2200,BRIGHT,NA,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,369625,371625,2000,SUN,NA,Yes,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,371925,374025,2100,SAME,NA,,,FALSE
Colour_game_01_1_Jordan-India_After_one_week.eaf,1,1,19,247400,527046,279646,385815,390130,4315,GOLD,Repeat#ISL,NA,NA,TRUE
