"","filename","trialID","director","speaker","trial_value","trial_start","trial_end","trial_length","sign_start","sign_end","sign_length","sign_value","sign_notes","iconic","signOrigin","T0Check","CandidateUnderstanding","TryMarked","Indexicality","Teach","T_minus_1","T0","week","session","part1","part2","originalSignLabel","speakerName","inventedBy","IX","OS","LW","SE","freq_week_1_total","freq_week_4_total","freq_week4_withinColour","prop_week4_withinColour"
"32","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,1,"7",9990,20623,10633,10050,10875,825,"BLACK","OS",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","BLACK","Jordan","Jordan",FALSE,TRUE,FALSE,FALSE,18,17,0,0
"33","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,1,"7",9990,20623,10633,10955,12325,1370,"BLACK","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","BLACK(JSL)","Jordan","Jordan",FALSE,TRUE,FALSE,FALSE,18,17,0,0
"234","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",22,2,2,"7",11333,12942,1609,11345,12932,1587,"BLACK","OS",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","BLACK","Indonesia","Jordan",FALSE,TRUE,FALSE,FALSE,18,17,0,0
"38","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,2,"7",9990,20623,10633,12202,12932,730,"BLACK","OS",NA,NA,TRUE,"No",FALSE,"Yes-body",FALSE,FALSE,TRUE,1,"1","Jordan","India","BLACK","India","Jordan",FALSE,TRUE,FALSE,FALSE,18,17,0,0
"39","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,2,"7",9990,20623,10633,12932,15022,2090,"DARK",NA,NA,NA,TRUE,"Yes",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Jordan","India","DARK","India","India",FALSE,FALSE,FALSE,FALSE,25,3,0,0
"34","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,1,"7",9990,20623,10633,13967,15150,1183,"DARK-NIGHT",NA,NA,NA,FALSE,"No",FALSE,"yes",FALSE,FALSE,FALSE,1,"1","Jordan","India","DARK-NIGHT","Jordan","Jordan",FALSE,FALSE,FALSE,FALSE,2,0,0,0
"35","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,1,"7",9990,20623,10633,16129,17673,1544,"NIGHT",NA,NA,NA,FALSE,"No",FALSE,"yes",FALSE,TRUE,FALSE,1,"1","Jordan","India","NIGHT","Jordan","Jordan",FALSE,FALSE,FALSE,FALSE,2,0,0,0
"40","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,2,"7",9990,20623,10633,16722,18216,1494,"NIGHT",NA,NA,NA,TRUE,"No",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Jordan","India","NIGHT","India","Jordan",FALSE,FALSE,FALSE,FALSE,2,0,0,0
"164","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",7,1,1,"7",17308,19675,2367,17298,19655,2357,"BLACK","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","BLACK","Nepal","Jordan",FALSE,TRUE,FALSE,FALSE,18,17,0,0
"36","Colour_game_01_1_Jordan-India_After_one_week.eaf",14,1,1,"7",9990,20623,10633,17690,19207,1517,"DARK-NIGHT",NA,NA,NA,FALSE,"No",TRUE,"yes",FALSE,TRUE,FALSE,1,"1","Jordan","India","DARK-NIGHT","Jordan","Jordan",FALSE,FALSE,FALSE,FALSE,2,0,0,0
