"","colour","colourName","sign","freq_week_1_total","freq_week_4_total","freq_week_1","freq_week_4","prop_week_1","prop_week_4","origin","iconic","check","T_minus_1","indexical","inventedBy","TryMarked","Teach","averageLength_week_1","averageTrialLength_week_1"
"1","1","red","RED(FRONTLET)",25,4,12,2,0.5,0.142857142857143,"NSL","No",2,2,"No","Nepal",3,0,1316,8912
"2","1","red","RED(MOUTH)",26,18,7,12,0.291666666666667,0.857142857142857,"None","No",1,4,"Yes-body","Nepal",2,0,1115.33333333333,6663
"3","1","red","RED(IMOUTH)",1,NA,1,0,0.0416666666666667,0,"None","No",0,0,"Yes-body","India",0,0,1214.41666666667,4210.75
"4","1","red","PRAYER",1,NA,1,0,0.0416666666666667,0,"None","No",0,1,"No","India",1,0,662,8912
"5","1","red","RED-BLOOD",3,NA,3,0,0.125,0,"None","No",1,0,"No","Nepal",0,0,773,6035.71428571429
"6","5","brown","IX:'BACK OF ONE'S HAND'",15,13,15,13,0.223880597014925,0.764705882352941,"None","No",4,5,"Yes-body","Nepal",7,1,557,9950
"7","5","brown","DARK",25,4,11,0,0.164179104477612,0,"None","No",6,0,"No","India",1,0,2127,9950
"8","5","brown","IX:ARM",7,NA,6,0,0.0895522388059701,0,"None","No",2,1,"Yes-body","India",3,0,210,15772
"9","5","brown","BLACK",18,19,1,0,0.0149253731343284,0,"None","No",0,0,"Yes-body","Jordan",0,0,1609.54545454545,22914
"10","5","brown","BOOGER",3,NA,1,0,0.0149253731343284,0,"None","No",1,0,"No","India",0,0,3771,50456
"11","5","brown","FACE+DARK",1,NA,1,0,0.0149253731343284,0,"None","No",0,0,"No","Indonesia",1,0,2486,50456
"12","5","brown","SAME",28,8,5,0,0.0746268656716418,0,"None","No",1,0,"No","Jordan",0,0,740,20040
"13","5","brown","SIWASH",1,NA,1,0,0.0149253731343284,0,"None","No",0,0,"No","Indonesia",1,0,1373.93333333333,24942.2666666667
