"","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","TryMarked","T0","T_minus_1","Teach"
"6",34,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,13967,15150,"Jordan","?","?","?","?"
"10",36,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,17690,19207,"Jordan","?","?","?","?"
"19",143,"Colour_game_01_1_Jordan-India_After_one_week.eaf",35,7,58518,60138,"India","?","?","?","?"
"68",59,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,172423,174786,"India","?","?","?","?"
"75",63,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,184604,185747,"India","?","?","?","?"
"78",66,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,186992,187171,"India","?","?","?","?"
"82",70,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,188423,189127,"India","?","?","?","?"
"86",75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,192461,195418,"India","?","?","?","?"
"90",94,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,196930,199185,"Jordan","?","?","?","?"
"147",185,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,461510,464059,"Nepal","?","?","?","?"
"170",156,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,1020009,1022346,"Nepal","?","?","?","?"
"173",158,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,1024014,1024864,"Nepal","?","?","?","?"
"184",118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1279911,1281176,"India","?","?","?","?"
"187",123,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1283005,1283643,"Jordan","?","?","?","?"
"211",17,"Colour_game_01_1_Jordan-India_After_one_week.eaf",9,14,1741962,1743205,"Jordan","?","?","?","?"
"220",138,"Colour_game_01_1_Jordan-India_After_one_week.eaf",34,5,2031152,2031709,"India","?","?","?","?"
"225",295,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,10570,12810,"Nepal","?","?","?","?"
"231",301,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,16035,16560,"Nepal","?","?","?","?"
"240",331,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,28955,30271,"India","?","?","?","?"
"245",335,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,34879,35179,"India","?","?","?","?"
"254",284,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",25,1,136420,137880,"Indonesia","?","?","?","?"
"272",289,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",33,14,213330,214680,"Indonesia","?","?","?","?"
"281",359,"Colour_game_01_2_Nepal-India_After_one_week.eaf",31,14,439192,439344,"India","?","?","?","?"
"296",268,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,593042,595831,"Indonesia","?","?","?","?"
"301",271,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,602278,603477,"Indonesia","?","?","?","?"
"303",275,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,606907,608335,"Jordan","?","?","?","?"
"316",373,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,671687,673317,"Nepal","?","?","?","?"
"323",319,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,815362,816704,"India","?","?","?","?"
"332",293,"Colour_game_01_2_Nepal-India_After_one_week.eaf",1,14,1026214,1027082,"India","?","?","?","?"
"351",403,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",17,1,309893,310393,"Indonesia","?","?","?","?"
"365",382,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,450060,451632,"Indonesia","?","?","?","?"
"370",386,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,458011,459916,"Indonesia","?","?","?","?"
"373",442,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,528597,529226,"Indonesia","?","?","?","?"
"374",443,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530360,530810,"Indonesia","?","?","?","?"
"375",441,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530362,531184,"India","?","?","?","?"
"376",444,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530810,531086,"Indonesia","?","?","?","?"
"377",445,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,531086,532022,"Indonesia","?","?","?","?"
"378",451,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",11,24,549932,552132,"Jordan","?","?","?","?"
"379",470,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,549932,552132,"Jordan","?","?","?","?"
"382",453,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",11,24,550666,552991,"Nepal","?","?","?","?"
"384",473,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,552997,554977,"Nepal","?","?","?","?"
"421",436,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",24,18,978105,979417,"India","?","?","?","?"
"423",438,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",24,18,980105,981147,"India","?","?","?","?"
"432",399,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,1010460,1010722,"India","?","?","?","?"
