"","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","sign_startms","sign_endms"
"184",118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 19 sec","21 min 21 sec","India",1279911,1281176
"189",124,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 25 sec","21 min 25 sec","Jordan",1285297,1285626
"211",17,"Colour_game_01_1_Jordan-India_After_one_week.eaf",9,14,"29 min 1 sec","29 min 3 sec","Jordan",1741962,1743205
"86",75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 12 sec","3 min 15 sec","India",192461,195418
"91",77,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 18 sec","3 min 21 sec","India",198794,201039
"28",211,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 14 sec","1 min 15 sec","Indonesia",74830,75070
"35",194,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 28 sec","1 min 32 sec","Nepal",88950,92700
"38",196,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 33 sec","1 min 34 sec","Nepal",93670,94316
"45",202,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 54 sec","1 min 57 sec","Nepal",114517,117836
"24",191,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 9 sec","1 min 12 sec","Nepal",69666,72593
"171",159,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,"17 min 1 sec","17 min 2 sec","Indonesia",1021608,1022810
"141",181,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 17 sec","7 min 19 sec","Nepal",437454,439000
"302",272,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,"10 min 3 sec","10 min 4 sec","Indonesia",603477,604626
"256",286,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 43 sec","2 min 44 sec","Indonesia",163000,164983
"286",276,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",23,24,"8 min 22 sec","8 min 23 sec","Indonesia",502491,503125
"298",273,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,"9 min 56 sec","9 min 57 sec","Jordan",596921,597658
"230",300,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,"0 min 15 sec","0 min 16 sec","Nepal",15442,16035
"236",327,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,"0 min 26 sec","0 min 26 sec","India",26340,26986
"304",361,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,"10 min 57 sec","10 min 59 sec","India",657684,659284
"310",367,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,"11 min 5 sec","11 min 5 sec","India",665304,665798
"324",320,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 36 sec","13 min 38 sec","India",816711,818824
"326",326,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 37 sec","13 min 38 sec","Nepal",817087,818017
"389",405,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 1 sec","11 min 2 sec","India",661394,662981
"406",415,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 24 sec","11 min 25 sec","India",684656,685338
"412",429,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 39 sec","11 min 39 sec","Indonesia",699556,699884
