"","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","sign_startms","sign_endms"
"443",494,"Colour_game_04_1_Indonesia-India_After_three_week.eaf",18,1,"0 min 17 sec","0 min 17 sec","India",17195,17620
"467",478,"Colour_game_04_1_Indonesia-India_After_three_week.eaf",2,24,"7 min 53 sec","7 min 56 sec","Indonesia",473971,476204
"469",479,"Colour_game_04_1_Indonesia-India_After_three_week.eaf",2,24,"7 min 58 sec","7 min 58 sec","Indonesia",478389,478861
"442",519,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",36,1,"0 min 12 sec","0 min 15 sec","Nepal",12426,15311
"471",515,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",29,18,"10 min 22 sec","10 min 22 sec","Nepal",622331,622899
"472",516,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",29,18,"10 min 23 sec","10 min 26 sec","Nepal",623935,626201
"475",507,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",11,18,"10 min 43 sec","10 min 43 sec","Jordan",643250,643793
"460",513,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",23,5,"5 min 5 sec","5 min 6 sec","Nepal",305777,306995
"461",520,"Colour_game_04_1_Jordan-Nepal_After_three_weeks.eaf",37,7,"6 min 22 sec","6 min 23 sec","Nepal",382094,383605
"479",537,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",31,24,"0 min 29 sec","0 min 31 sec","Indonesia",29171,31105
"481",530,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",14,18,"0 min 44 sec","0 min 48 sec","Jordan",44844,48930
"486",526,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",10,1,"1 min 46 sec","1 min 49 sec","Jordan",106233,109283
"510",523,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",6,14,"10 min 31 sec","10 min 31 sec","Indonesia",631215,631882
"488",534,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",26,7,"2 min 20 sec","2 min 22 sec","Indonesia",140408,142580
"487",529,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",11,7,"2 min 20 sec","2 min 22 sec","Indonesia",140408,142580
"489",528,"Colour_game_04_2_Jordan-Indonesia_After_three_week.eaf",11,7,"2 min 21 sec","2 min 23 sec","Jordan",141835,143251
"480",542,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",4,7,"0 min 33 sec","0 min 34 sec","Nepal",33397,34340
"483",557,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",23,7,"0 min 48 sec","0 min 49 sec","India",48763,49691
"482",556,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",23,7,"0 min 48 sec","0 min 49 sec","India",48738,49789
"513",553,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",21,14,"10 min 49 sec","10 min 49 sec","India",649534,649988
"495",545,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",16,18,"5 min 14 sec","5 min 16 sec","India",314833,316505
"500",550,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",16,18,"5 min 17 sec","5 min 17 sec","India",317301,317931
"502",552,"Colour_game_04_2_Nepal-India_After_three_weeks.eaf",16,18,"5 min 18 sec","5 min 19 sec","India",318469,319406
"532",599,"Colour_game_04_3_Jordan-India_After_three_weeks.eaf",29,1,"3 min 24 sec","3 min 25 sec","India",204688,205125
