"","X","filename","trialID","trial_value","sign_start","sign_end","speakerName"
"256",286,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,163000,164983,"Indonesia"
"328",322,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,823890,828338,"India"
"351",403,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",17,1,309893,310393,"Indonesia"
"18",239,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,24,58496,59947,"Indonesia"
"238",329,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,27864,28526,"India"
"424",391,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,1002370,1003350,"Indonesia"
"369",385,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,456107,457773,"Indonesia"
"2",33,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,10955,12325,"Jordan"
"325",325,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,816877,817087,"Nepal"
"319",263,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",17,14,761130,761882,"Jordan"
"227",296,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,12810,13440,"Nepal"
"365",382,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,450060,451632,"Indonesia"
"168",231,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",19,14,865223,867044,"Indonesia"
"379",470,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,549932,552132,"Jordan"
"340",446,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",2,1,23244,24588,"Nepal"
"145",184,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,455072,457312,"Nepal"
"299",274,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,597658,598973,"Jordan"
"67",58,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,171932,172423,"India"
"241",332,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,30271,30685,"India"
"303",275,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,606907,608335,"Jordan"
"157",172,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,18,565255,566521,"Indonesia"
"313",370,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,669684,669884,"India"
"187",123,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1283005,1283643,"Jordan"
"278",356,"Colour_game_01_2_Nepal-India_After_one_week.eaf",31,14,436150,436623,"India"
"151",174,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",10,1,486259,488187,"Nepal"
"275",292,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",33,14,216856,218751,"Indonesia"
"160",1,"Colour_game_01_1_Jordan-India_After_one_week.eaf",1,1,830682,831412,"Jordan"
"302",272,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,603477,604626,"Indonesia"
"86",75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,192461,195418,"India"
"3",234,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",22,7,11345,12932,"Indonesia"
"242",333,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,30685,31658,"India"
"178",112,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1273735,1274894,"India"
"433",400,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,1010722,1011227,"India"
"420",435,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",24,18,977647,978084,"India"
"172",157,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,1023532,1023962,"Nepal"
"97",41,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,204968,205572,"Jordan"
"362",380,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,439285,440619,"Indonesia"
"6",34,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,13967,15150,"Jordan"
"143",189,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,451126,452013,"Indonesia"
"165",161,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,14,858490,860069,"Indonesia"
"373",442,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,528597,529226,"Indonesia"
"19",143,"Colour_game_01_1_Jordan-India_After_one_week.eaf",35,7,58518,60138,"India"
"138",178,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,415062,421395,"Nepal"
"310",367,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,665304,665798,"India"
"90",94,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,196930,199185,"Jordan"
"331",315,"Colour_game_01_2_Nepal-India_After_one_week.eaf",19,14,1006706,1007823,"Nepal"
"320",264,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",17,14,761882,763355,"Jordan"
"356",462,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",24,5,392136,392837,"Nepal"
"13",242,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,24,52206,52731,"Nepal"
"327",321,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,818850,820077,"India"
