"","filename","trialID","sign_start_mmss","sign_value"
"33","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:23","EAT+PEEL"
"39","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:33","GREEN-NSL"
"48","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"02:12","GREEN-NSL"
"65","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:51","LIPSTICK"
"73","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:05","LIP"
"74","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:06","LIPSTICK"
"75","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:06","LIP"
"77","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:07","LIP"
"159","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,"14:12","GREEN-NSL"
"161","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",10,"14:17","GREEN-NSL"
"165","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",20,"14:25","GREEN-NSL"
"172","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:10","YELLOW(ISL)"
"173","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:13","YELLOW(ISL)"
"223","Colour_game_01_2_Nepal-India_After_one_week.eaf",16,"00:13","GREEN-NSL"
"226","Colour_game_01_2_Nepal-India_After_one_week.eaf",16,"00:16","GREEN-NSL"
"242","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",11,"01:58","YELLOW(ISL)"
"328","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",5,"03:05","GREEN-NSL"
"329","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",5,"03:06","GREEN-NSL"
"374","Colour_game_01_3_Indonesia-India_After_one_week.eaf",14,"16:43","YELLOW(ISL)"
